Intersection,All_Motorized_Vehicles_AADT_24_,Truck_Percent,Pedestrians_Not_Factored,Bicycles_Not_Factored,Date,X,Y,Lat,Long,FID
RUSSELL RD @ RUSSELL RD EXT,3986,0.0629,0,1,2023-Jul-19,384131.791,5026926.5079,45.377788,-75.48707,1
PORTOBELLO BLVD @ CAPREOL ST/MARTELLO DR,4060,0.044,160,38,2023-Oct-25,385688.7738,5035639.8806,45.456005,-75.465763,2
HALL RD S @ RUSSELL RD,4077,0.0675,3,2,2023-Jul-19,384028.7914,5026939.5107,45.377917,-75.488382,3
BAY ST @ GLOUCESTER ST,4083,0.0229,2126,150,2023-Nov-01,367074.7015,5030933.5763,45.415567,-75.704329,4
LEITRIM RD @ RUSSELL RD E,4167,0.0641,0,1,2023-Jul-19,383878.7874,5026905.5074,45.377628,-75.490303,5
BLOHM DR @ FORESTGLADE CRES S/PICASSO DR,4213,0.0385,71,2,2023-Mar-14,375067.7433,5026322.5211,45.373322,-75.602873,6
FOREST GATE WAY @ STONEWAY DR W,4219,0.0346,76,69,2023-May-30,365757.4202,5016782.5701,45.288354,-75.722903,7
PAUL METIVIER DR @ TEMAGAMI DR,4279,0.0103,101,47,2023-Aug-02,365553.474,5014522.8301,45.268039,-75.725779,8
CABIN RD @ NIXON DR,4302,0.0362,0,2,2023-Jul-06,373937.7071,5001599.3342,45.150981,-75.620739,9
DES PRAIRIES AVE S @ PRESTWICK DR S,4374,0.0274,53,24,2023-Oct-19,383509.7659,5036166.5615,45.460993,-75.493534,10
ROGER STEVENS DR @ MALAKOFF RD,4412,0.0558,0,0,2023-Jan-17,362227.6181,4996129.2561,45.102809,-75.770277,11
BEATRICE DR @ BERRIGAN DR,4414,0.0297,67,67,2023-Jul-25,365176.6973,5016074.1017,45.282029,-75.730392,12
MAPLE AVE @ ANN ST,4459,0.0176,21,5,2023-Jul-13,368698.7048,5009848.3906,45.2257,-75.686302,13
WATERBRIDGE DR @ CRESTWAY DR,4479,0.0095,118,16,2023-Nov-16,366481.6144,5016133.8275,45.282454,-75.713752,14
MANOTICK MAIN ST/RIDEAU VALLEY DR @ CENTURY RD,4505,0.1188,8,0,2023-Mar-14,370042.7107,5008802.3897,45.216165,-75.669326,15
TRIM RD @ WALL RD,4602,0.0281,2,27,2023-Jul-05,387628.7867,5034669.527,45.447048,-75.441125,16
FERN CASEY ST @ LOCUST RDG/CREVASSE RD,4640,0.031,219,50,2023-Sep-13,382521.0012,5033475.09,45.436888,-75.506601,17
HAIG DR @ SAUNDERSON DR,4663,0.0184,187,6,2023-Mar-01,372590.7236,5029539.5517,45.402511,-75.634052,18
BIRCHLAND CRES/FRANKLIN CATHCART CRES @ WEST RIDGE DR S,4708,0.0299,157,1,2023-Nov-29,349873.0301,5012357.5929,45.249735,-75.92579,19
MANOTICK MAIN ST/RIDEAU VALLEY DR @ CENTURY RD,4725,0.1253,10,0,2023-Mar-14,370042.7107,5008802.3897,45.216165,-75.669326,20
BLUE WILLOW CRES N @ ORLEANS BLVD,4761,0.0258,47,15,2023-Aug-01,380872.0772,5033424.9268,45.436618,-75.527682,21
AKERSON RD @ MICHAEL COWPLAND DR,4788,0.0195,143,103,2023-Jul-05,353916.7759,5016238.0326,45.284381,-75.873894,22
JEANNE D'ARC BLVD @ LAWNSBERRY DR W,4796,0.0372,176,6,2023-Feb-14,381788.7376,5038986.6038,45.486557,-75.515096,23
KLONDIKE RD @ OLD SECOND LINE RD,4829,0.0159,90,104,2023-Jul-12,348189.1041,5023075.774,45.346286,-75.946303,24
STONEWAY DR @ WITTINGHAM DR,4961,0.0297,119,43,2023-May-30,365714.9166,5016771.9391,45.288262,-75.723446,25
DONALD ST @ NORTH RIVER RD,5097,0.0219,580,418,2023-Aug-24,369967.7169,5032232.5817,45.426991,-75.667198,26
PAUL METIVIER DR @ BEATRICE DR,5179,0.0209,69,43,2023-May-30,365704.3211,5014603.8781,45.268755,-75.723847,27
ORLEANS BLVD @ BLUE WILLOW CRES S/DES GRANDS-CHAMPS WAY,5227,0.0263,116,30,2023-Aug-01,380752.1529,5033311.026,45.435606,-75.529232,28
ABBOTT ST @ LANCELEAF WAY/MALAHAT WAY,5273,0.0236,208,47,2023-May-30,352547.5061,5015909.9644,45.281524,-75.891379,29
BAYCREST DR @ SANDALWOOD DR,5277,0.0634,279,10,2023-Nov-01,371353.7315,5026705.5281,45.37713,-75.650233,30
BANK ST @ BELMEADE RD/MARIONVILLE RD,5335,0.0628,0,0,2023-Mar-14,388036.7816,5001137.3196,45.145303,-75.441539,31
GOULBURN AVE @ LAURIER AVE,5389,0.0271,417,150,2023-Jun-22,369253.7095,5032348.5829,45.428101,-75.676306,32
BIRCHLAND CRES/FRANKLIN CATHCART CRES @ WEST RIDGE DR S,5456,0.0201,159,9,2023-Oct-31,349873.0301,5012357.5929,45.249735,-75.92579,33
EARL ARMSTRONG RD @ BOWESVILLE RD,5505,0.0429,4,6,2023-Aug-01,372560.741,5017440.4636,45.293651,-75.636092,34
ALBION RD @ ROSEBELLA AVE,5507,0.0479,18,2,2023-Feb-23,372386.7427,5023064.5066,45.344271,-75.637543,35
FORCED RD @ RUSSELL RD,5507,0.1071,2,2,2023-Jul-05,395805.865,5027765.4704,45.383917,-75.337886,36
PUTMAN AVE @ SPRINGFIELD RD,5529,0.0385,718,122,2023-Oct-18,369186.7001,5033909.5936,45.442152,-75.676958,37
MANOTICK MAIN ST/RIDEAU VALLEY DR @ CENTURY RD,5533,0.0732,8,1,2023-Nov-01,370042.7107,5008802.3897,45.216165,-75.669326,38
COURTICE AVE @ KILBORN AVE,5570,0.0324,39,82,2023-May-02,370919.7214,5027813.5351,45.387141,-75.655626,39
PAUL METIVIER DR @ CLEARBROOK DR,5577,0.0167,55,34,2023-May-30,366088.0559,5014763.554,45.270158,-75.718938,40
KILBORN AVE @ PROSPECT AVE,5653,0.0339,40,84,2023-May-02,370997.7175,5027821.5358,45.387205,-75.654629,41
BOOTH ST @ ORANGEVILLE ST,5655,0.0252,405,163,2023-Jun-29,366891.6961,5029571.5648,45.403328,-75.706839,42
ANDERSON ST @ BOOTH ST,5687,0.0163,251,22,2023-Mar-21,366650.6967,5030124.5682,45.408325,-75.709848,43
MCNEELY RD @ RUSSELL RD,5712,0.111,0,0,2023-Jul-05,394434.8542,5027231.4689,45.37929,-75.355487,44
BOOTH ST @ POPLAR ST,5783,0.0157,263,18,2023-Mar-21,366679.6978,5030058.5618,45.407728,-75.709486,45
MCGUIRE RD @ SNAKE ISLAND RD,5809,0.0911,1,5,2023-Jul-06,375780.728,5004666.3603,45.178395,-75.596867,46
BROADVIEW AVE @ WELLESLEY AVE,5829,0.0191,1492,89,2023-Oct-18,363141.6885,5026727.5402,45.37806,-75.755074,47
COPE DR @ ROUNCEY RD,5847,0.0497,28,5,2023-Jan-17,353518.434,5014958.8075,45.272898,-75.879097,48
BANK ST @ WELLINGTON ST,5852,0.1067,2589,44,2023-Mar-02,367257.707,5031628.5734,45.421804,-75.701903,49
ALBION RD @ GOTH AVE,5946,0.0455,19,1,2023-Feb-23,372332.741,5023198.5095,45.345482,-75.638214,50
COMPASS ST @ RENAUD RD,5951,0.0174,69,31,2023-Jun-28,382358.0101,5033070.7137,45.433268,-75.508748,51
GLEN ST @ VICTORIA ST,5962,0.0547,33,0,2023-Feb-08,385041.8004,5010921.4142,45.233682,-75.478043,52
ALBION RD @ WYLDEWOOD ST,5977,0.0433,22,0,2023-Feb-23,372292.7366,5023293.5087,45.34634,-75.638711,53
VARENNES BLVD @ WATTERS RD,5980,0.0334,55,1,2023-Feb-23,384834.7594,5038434.5705,45.481248,-75.476225,54
EAGLESON RD @ OTTAWA ST,5998,0.0461,0,1,2023-Mar-07,358562.626,5006062.3451,45.192479,-75.815775,55
ANDERSON ST @ BOOTH ST,6007,0.0192,352,33,2023-Mar-21,366650.6967,5030124.5682,45.408325,-75.709848,56
COBOURG ST @ OLD ST. PATRICK ST,6009,0.0627,124,248,2023-Aug-09,368820.7057,5033173.5925,45.435564,-75.681732,57
BOOTH ST @ ECCLES ST,6071,0.0192,551,28,2023-Mar-21,366623.6999,5030186.5642,45.408885,-75.710185,58
MANN AVE @ RUSSELL AVE,6084,0.0412,374,48,2023-Jun-20,369470.7145,5031504.5814,45.420487,-75.673644,59
BOOTH ST @ POPLAR ST,6090,0.0185,369,30,2023-Mar-21,366679.6978,5030058.5618,45.407728,-75.709486,60
HAMLET RD @ OTHELLO AVE,6355,0.0249,300,17,2023-Jan-10,373262.7307,5029288.5475,45.400187,-75.625504,61
BOOTH ST @ ECCLES ST,6406,0.0229,775,41,2023-Mar-21,366623.6999,5030186.5642,45.408885,-75.710185,62
FRANKTOWN RD @ MUNSTER RD,6422,0.0641,1,0,2023-Dec-19,350728.5458,5000781.3253,45.145511,-75.915958,63
RIVER RD @ SOUTH GOWER BOUNDARY RD,6450,0.0732,5,3,2023-Jul-18,374599.709,4996521.284,45.105224,-75.613029,64
RIVERDALE AVE @ SUNNYSIDE AVE,6535,0.0228,419,82,2023-May-02,369074.5849,5028787.111,45.396073,-75.67906,65
CREEK CROSSING ST @ ORLEANS BLVD,6606,0.038,307,14,2023-May-02,380940.754,5033546.5581,45.437705,-75.526785,66
SCALA AVE @ PORTOBELLO BLVD,6654,0.0308,188,12,2023-Nov-23,385640.4882,5036379.8721,45.462669,-75.466258,67
BAY ST @ LAURIER AVE,6683,0.0252,2930,1338,2023-Aug-02,367034.7054,5030997.5725,45.416146,-75.704832,68
ANTOCHI LANE @ MANOTICK MAIN ST,6714,0.0909,17,0,2023-Mar-14,369646.3459,5009135.3918,45.219198,-75.674329,69
BAY ST @ LAURIER AVE,6747,0.0221,2116,1046,2023-Aug-02,367034.7054,5030997.5725,45.416146,-75.704832,70
JEANNE D'ARC BLVD @ TENTH LINE RD,6870,0.0289,66,3,2023-Nov-23,382569.738,5039340.5979,45.489655,-75.50505,71
KILBORN AVE @ FEATHERSTON DR/ROSEGLEN PRIV,7019,0.028,338,187,2023-Sep-13,371263.7258,5027849.5285,45.387432,-75.651228,72
ANTOCHI LANE @ MANOTICK MAIN ST,7058,0.0941,18,0,2023-Mar-14,369646.3459,5009135.3918,45.219198,-75.674329,73
CARLING AVE @ SCHNEIDER RD,7132,0.0301,143,50,2023-Aug-02,351624.6267,5022236.4966,45.338513,-75.902544,74
BOUNDARY RD @ RUSSELL RD W,7298,0.0763,15,0,2023-Mar-09,386546.8135,5026021.5021,45.369368,-75.456389,75
HAWTHORNE RD @ RIDEAU RD,7415,0.1837,0,1,2023-Mar-08,378618.7767,5018940.4784,45.306537,-75.558643,76
ANDERSON RD @ RIDGE RD,7461,0.0544,0,0,2023-Mar-09,379029.7574,5028508.5322,45.392581,-75.551967,77
EARL MULLIGAN DR @ WOODGATE WAY,7565,0.0257,64,0,2023-Jan-10,365041.6971,5017386.4584,45.29385,-75.731953,78
DONALD B. MUNRO DR/OLD CARP RD W @ MARCH RD,7570,0.0868,4,0,2023-Mar-09,343091.5592,5022592.501,45.342235,-76.011389,79
BANK ST @ DALMENY RD/MARVELVILLE RD,7581,0.0783,0,0,2023-Mar-08,385828.7808,5004368.3516,45.174631,-75.469087,80
MARCH VALLEY RD @ TERRY FOX DR,7728,0.0485,86,7,2023-Mar-09,350754.5692,5023784.006,45.352496,-75.913501,81
RENAUD RD @ MER BLEUE RD,7983,0.0298,12,12,2023-Apr-18,383448.7696,5033734.5367,45.439118,-75.494703,82
NAVAN RD @ TRIM RD,8006,0.068,0,0,2023-Mar-02,388559.7992,5032375.5255,45.426298,-75.429616,83
MCCARTHY RD @ SOUTHMORE DR,8008,0.0329,117,130,2023-May-10,369449.7225,5024837.5277,45.360501,-75.674786,84
APPLE ORCHARD RD/PARKWAY RD @ STAGECOACH RD,8061,0.0682,0,0,2023-Mar-07,376230.7481,5012622.4185,45.249936,-75.590001,85
FLEWELLYN RD @ SHEA RD,8145,0.0316,0,2,2023-Apr-26,352993.6002,5012174.4052,45.24788,-75.886055,86
CAMBRIAN RD @ SEELEY'S BAY ST,8183,0.0242,51,9,2023-Jul-25,363975.4011,5012392.257,45.249002,-75.746142,87
MER BLEUE RD W @ NAVAN RD,8203,0.0792,1,5,2023-Mar-09,384006.7766,5032255.5439,45.425749,-75.48781,88
MONTMERE AVE @ TRIM RD,8230,0.0394,64,4,2023-Oct-25,386931.5759,5036384.6101,45.462561,-75.44975,89
WOODROFFE AVE @ CRESTHAVEN DR/PAUL METIVIER,8271,0.0159,181,90,2023-Aug-02,366327.1151,5014853.4038,45.270946,-75.71588,90
MCCARTHY RD @ PROVOST DR,8301,0.0353,30,36,2023-May-10,369330.7158,5025133.5163,45.363175,-75.676266,91
ANDERSON RD @ LEITRIM RD,8578,0.0643,0,0,2023-Mar-07,380473.7741,5024908.5046,45.360036,-75.534078,92
CAMPEAU DR @ DIDSBURY RD,8611,0.0201,50,8,2023-Dec-14,350289.6032,5018754.4605,45.307269,-75.919897,93
LEITRIM RD @ RAMSAYVILLE RD S,8693,0.0526,0,0,2023-Mar-07,378785.7671,5023729.5049,45.349608,-75.555798,94
FINDLAY CREEK DR @ KELLY FARM DR,8696,0.0232,678,0,2023-Feb-09,375339.8966,5020047.7253,45.316836,-75.600293,95
EARL MULLIGAN DR @ WOODPARK WAY,8849,0.022,53,3,2023-Jan-10,365105.704,5017423.462,45.294177,-75.731133,96
SNAKE ISLAND RD @ STAGECOACH RD,8858,0.073,0,0,2023-Mar-29,378062.7575,5006581.3852,45.195392,-75.567554,97
CONCORD ST @ GREENFIELD AVE,8943,0.0383,391,35,2023-May-02,369033.7103,5031064.5589,45.416568,-75.679285,98
STITTSVILLE MAIN ST @ WEST RIDGE DR/PARADE DR,9081,0.0457,71,2,2023-Mar-08,350901.81,5011480.05,45.241772,-75.912766,99
MAPLE GROVE RD @ SILVER SEVEN RD,9155,0.0398,7,2,2023-Mar-07,351285.6043,5017621.4411,45.297009,-75.907302,100
SPRATT RD @ SHORELINE DR S,9212,0.0278,95,3,2023-Jan-17,368340.3813,5015176.7251,45.273676,-75.690184,101
STONEHAVEN DR @ STONEMEADOW DR,9358,0.0307,290,1,2023-Mar-09,355950.3959,5016619.151,45.287666,-75.847933,102
JOSHUA ST @ RENAUD RD,9439,0.0282,82,0,2023-Mar-02,381156.426,5032327.4129,45.426712,-75.524218,103
MILTON RD @ NAVAN RD,9508,0.0703,1,0,2023-Mar-02,387268.7888,5031812.5211,45.421386,-75.446205,104
TWEEDSMUIR AVE @ SCOTT ST,9643,0.1832,588,29,2023-Dec-06,363396.6853,5028776.558,45.396476,-75.751575,105
MACFARLANE RD @ DEAKIN ST,9695,0.0346,30,2,2023-Mar-08,367253.7148,5021558.4912,45.331196,-75.703228,106
FRANK KENNY RD @ ROCKDALE RD,9737,0.0555,1,3,2023-Aug-15,395189.3032,5023341.3033,45.344194,-75.346567,107
ALBION RD @ JOHNSTON RD,9833,0.0354,48,1,2023-Mar-07,371502.7291,5025225.5152,45.3638,-75.648531,108
BANKFIELD RD @ POTTER DR/LOCKMASTER CRES,9920,0.0925,5,3,2023-Oct-31,367735.6971,5009762.3923,45.225013,-75.698575,109
COLDREY AVE @ LAPERRIERE AVE,9984,0.0503,31,15,2023-Dec-05,364311.7044,5026829.5401,45.37888,-75.740124,110
CAVAN ST @ LAPERRIERE AVE,9997,0.0509,95,16,2023-Dec-05,364391.7048,5026880.545,45.379332,-75.739096,111
BEECHWOOD AVE @ MARQUETTE AVE,10033,0.0156,178,57,2023-Nov-25,369680.7084,5034039.5962,45.443276,-75.670627,112
LEES AVE @ TRANSITWAY/HWY 417 NICHOLAS IC118R22,10104,0.0539,591,140,2023-Jun-22,369365.4742,5031279.8297,45.418474,-75.675018,113
JOHNSTON RD @ TAPIOLA CRES E,10136,0.0327,91,6,2023-Dec-05,372254.7284,5025674.5186,45.367768,-75.638871,114
ALBERT ST @ COMMISSIONER ST,10185,0.0542,399,52,2023-Feb-14,366713.6973,5030971.57,45.41594,-75.708937,115
ORLEANS BLVD @ FORTUNE DR/SUGAR CREEK WAY,10221,0.0281,242,41,2023-Oct-25,380211.7415,5037785.5978,45.475923,-75.535452,116
SNAKE ISLAND RD @ STAGECOACH RD,10247,0.0913,0,7,2023-Jul-06,378062.7575,5006581.3852,45.195392,-75.567554,117
CAMBRIAN RD @ REGATTA AVE,10256,0.0417,103,15,2023-Oct-18,364535.36,5012715.37,45.251862,-75.73897,118
JOCKVALE RD @ LAMING ST/WEYBRIDGE DR W,10264,0.0215,222,24,2023-Mar-29,361915.6749,5015397.4364,45.276213,-75.772034,119
HAIG DR @ PLEASANT PARK RD,10296,0.0286,270,11,2023-Mar-08,372402.7362,5028586.5497,45.393955,-75.636583,120
BOUNDARY RD @ MITCH OWENS RD,10410,0.0747,0,0,2023-Mar-07,388065.8321,5022162.4695,45.334469,-75.43765,121
CHURCHILL AVE @ SCOTT ST,10482,0.1635,727,109,2023-Nov-30,363094.6896,5028584.5495,45.394773,-75.755454,122
ROBIN RD @ SWIFT ST,32,0,4,0,2023-Aug-02,344196.9781,5037523.7679,45.476528,-75.996091,123
MAGLADRY RD @ RUISSELLET RD,128,0.2821,3,2,2023-Jul-05,397769.8723,5031842.494,45.420339,-75.312043,124
GORDON MURDOCK RD @ BELMEADE RD,132,0.0417,0,4,2023-Mar-14,378570.7384,4995865.2807,45.098918,-75.562671,125
JEFFREY AVE @ BRAEMAR ST,141,0.0116,7,10,2023-Jul-05,370826.7134,5035188.6071,45.453507,-75.655825,126
CURRIER ST @ DICKINSON ST,156,0,11,0,2023-Jan-31,369083.7116,5009732.3894,45.224621,-75.681415,127
BRENTWOOD AVE @ DOWSER ST/MCKENDRY DR W,200,0.0246,8,5,2023-Jul-20,384612.8054,5010954.4174,45.234028,-75.483501,128
MCGEE SIDE RD @ SPRUCE RIDGE RD,205,0.064,1,7,2023-Jul-06,341180.5226,5016675.4798,45.289092,-76.036208,129
BASKINS BEACH RD W @ WREN ST W,220,0.0746,2,2,2023-Jul-11,343694.6185,5037773.6467,45.478805,-76.002496,130
SUE HOLLOWAY DR @ GLENROY GILBERT DR,221,0.0889,41,11,2023-Apr-26,364637.0189,5014650.877,45.269269,-75.737442,131
LOGGERS WAY @ MORRIS ISLAND DR,236,0.0486,1,3,2023-Jul-11,322193.5768,5035332.711,45.457707,-76.277601,132
FOREST HEIGHTS AVE @ STITT ST,246,0.0267,27,15,2023-Jun-08,349658.5738,5013378.4114,45.258934,-75.92843,133
HALL RD @ LEITRIM RD/RUSSELL RD EXT,259,0.0759,7,7,2023-Jul-19,384013.7959,5026982.5148,45.378306,-75.488567,134
SPARTINA ST @ BRADWELL WAY,274,0.2096,20,7,2023-Aug-10,374945.351,5019969.109,45.316168,-75.605336,135
LEN PURCELL DR @ BALDWIN ST,274,0.0539,17,13,2023-Jul-06,337172.5984,5040424.6726,45.502992,-76.085743,136
CROWN POINT RD @ OPEONGO RD,278,0.0471,10,8,2023-Jul-06,333202.6,5041604.7065,45.513783,-76.136475,137
SAUNDERS AVE @ LOCKHART AVE,306,0.0107,41,9,2023-Jul-06,361610.685,5026907.5376,45.379806,-75.7746,138
OWLS CABIN AVE @ FEATHER MOSS WAY,315,0.0677,6,6,2023-Aug-10,369170.5169,5016675.0297,45.287082,-75.67941,139
BASKINS BEACH RD @ SEPHORA RDG/WREN ST,318,0.0412,10,6,2023-Jul-11,343980.8359,5037494.846,45.47628,-75.998858,140
ARUNDEL AVE @ KILBARRY CRES E,345,0,66,26,2023-Jul-05,370758.706,5035321.6099,45.454711,-75.656677,141
PORTAL ST @ MOUNTBATTEN AVE,375,0.0568,28,6,2023-Apr-25,370285.7226,5028335.5555,45.391897,-75.663652,142
OLD ALMONTE RD @ SPRUCE RIDGE RD,389,0.0462,0,11,2023-Jul-06,342266.521,5015448.4613,45.277994,-76.022457,143
BASKINS BEACH RD @ SWIFT ST,403,0.2276,3,6,2023-Jul-06,344080.4921,5037397.594,45.4754,-75.997591,144
BLACK'S SIDE RD @ RIDINGVIEW CRES,405,0.085,1,4,2023-Jul-06,350058.7493,5010867.519,45.236315,-75.92356,145
BARLOW CRES/NEELY ST @ THOMAS A. DOLAN PKWY,410,0.024,17,2,2023-Jul-06,346670.6285,5035382.6158,45.457118,-75.964635,146
FARM LANE @ ARMITAGE AVE,413,0.0317,14,15,2023-Jul-06,342042.076,5038165.6045,45.482422,-76.023604,147
CROWN POINT RD @ DUNROBIN RD,423,0.093,8,3,2023-Jul-11,332811.6049,5041257.713,45.510677,-76.141499,148
ASHTON STATION RD @ PURDY RD,435,0.0453,0,2,2023-Jul-06,347922.5006,4994571.3457,45.089807,-75.952174,149
CABIN RD @ MCGUIRE RD,470,0.0314,1,0,2023-Jul-06,376405.7279,5003129.342,45.164502,-75.589136,150
BEVERLEY AVE @ SIMS AVE,485,0.0338,101,20,2023-Apr-27,365435.7028,5029080.5574,45.399037,-75.725496,151
9TH LINE RD @ MARIONVILLE RD,490,0.0558,0,0,2023-Mar-14,391065.8035,5002968.3264,45.161414,-75.402712,152
BREN-MAUR RD @ EISENHOWER CRES/KELOWNA ST,616,0.0266,35,29,2023-Jul-25,365914.7074,5014374.4376,45.266672,-75.721195,153
KIPPEWA DR @ DOW'S LAKE RD/JACKSON AVE,641,0.023,300,81,2023-Jun-21,367279.1159,5029069.3189,45.398774,-75.701954,154
IONA ST @ HARMER AVE,644,0.0254,270,155,2023-Oct-18,364966.7034,5028654.5563,45.395245,-75.731538,155
SUNBURST ST @ FERNSIDE ST,690,0.0665,31,1,2023-Nov-15,376013.909,5021332.7211,45.32833,-75.591513,156
GABERT RD @ SOUTH GOWER BOUNDARY,718,0.0685,0,7,2023-Jul-06,375449.723,4995140.2607,45.092713,-75.602424,157
BAYVIEW DR @ MACROSTIE LANE,738,0.0156,46,7,2023-Jul-06,337147.408,5040761.8151,45.506027,-76.086043,158
LAWN AVE @ RICHARDSON AVE,739,0.0288,72,44,2023-Jul-18,361367.6813,5025796.5303,45.369829,-75.77783,159
AMBIANCE DR @ ROSETTA AVE,741,0.0199,101,21,2023-Aug-02,367007.1395,5016734.9955,45.287816,-75.706979,160
FOSTER ST @ BEVERLEY AVE,761,0.0301,175,46,2023-Apr-27,365413.7045,5029132.5624,45.399507,-75.725771,161
PADEN RD @ MALAKOFF RD,772,0.0488,0,4,2023-Jul-06,366667.6635,4991102.2108,45.0572,-75.714483,162
